epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.2204,1.91199,2.33241,1.8951,0.00538,0.06169,0.00213,0.00105,nan,nan,nan,0.000660494,0.000660494,0.000660494
2,104.849,2.02239,1.96756,1.96136,0.00413,0.45942,0.00305,0.00102,2.77956,inf,23.3876,0.00132059,0.00132059,0.00132059
3,157.119,1.93983,1.86974,1.87059,0.20839,0.23418,0.1684,0.05559,2.24592,7.45669,2.49743,0.00197409,0.00197409,0.00197409
4,209.345,1.85027,1.69732,1.80113,0.18897,0.29383,0.14658,0.057,2.33994,7.59532,2.62335,0.0019703,0.0019703,0.0019703
5,261.308,1.77965,1.6421,1.74999,0.26762,0.31656,0.22676,0.09358,2.09012,6.72076,2.3314,0.0019604,0.0019604,0.0019604
6,313.483,1.75347,1.5594,1.71781,0.66472,0.53734,0.57697,0.25918,1.87052,1.87396,1.86262,0.0019505,0.0019505,0.0019505
7,365.631,1.68996,1.42337,1.66313,0.63074,0.57468,0.50176,0.22294,1.87658,2.0102,1.86931,0.0019406,0.0019406,0.0019406
8,417.515,1.67611,1.40379,1.6363,0.80284,0.72403,0.74462,0.36525,1.65961,1.21637,1.76547,0.0019307,0.0019307,0.0019307
9,469.717,1.63309,1.35259,1.61474,0.80885,0.71429,0.75723,0.39428,1.59764,1.23048,1.6305,0.0019208,0.0019208,0.0019208
10,521.956,1.59504,1.31008,1.60566,0.7995,0.70561,0.75726,0.39129,1.62675,1.26882,1.66399,0.0019109,0.0019109,0.0019109
11,573.914,1.58169,1.27399,1.57886,0.8061,0.70292,0.72691,0.36155,1.73549,1.25389,1.74908,0.001901,0.001901,0.001901
12,625.836,1.55448,1.20016,1.55411,0.80026,0.76299,0.77631,0.40939,1.57219,1.16031,1.60409,0.0018911,0.0018911,0.0018911
13,678.049,1.56097,1.23046,1.5536,0.80396,0.73233,0.7678,0.39462,1.61702,1.19068,1.60856,0.0018812,0.0018812,0.0018812
14,729.932,1.53464,1.18947,1.54795,0.88124,0.75,0.8104,0.44831,1.52424,1.03755,1.57815,0.0018713,0.0018713,0.0018713
15,782.088,1.5183,1.15995,1.53151,0.86687,0.75487,0.81277,0.44528,1.52283,1.07041,1.55615,0.0018614,0.0018614,0.0018614
16,833.964,1.48224,1.09549,1.50364,0.87277,0.71916,0.78889,0.40142,1.63613,1.09954,1.6713,0.0018515,0.0018515,0.0018515
17,885.893,1.47319,1.09408,1.48393,0.87789,0.80519,0.84351,0.46786,1.44531,1.01456,1.51712,0.0018416,0.0018416,0.0018416
18,938.071,1.4751,1.09052,1.48944,0.87536,0.77529,0.8351,0.45595,1.56402,0.99485,1.58539,0.0018317,0.0018317,0.0018317
19,989.992,1.47746,1.07297,1.49191,0.81639,0.74346,0.7923,0.41441,1.57,1.0008,1.55487,0.0018218,0.0018218,0.0018218
20,1041.91,1.44984,1.05889,1.47959,0.85754,0.70617,0.76714,0.37836,1.68305,1.1486,1.64138,0.0018119,0.0018119,0.0018119
21,1093.8,1.43891,1.03475,1.46307,0.85159,0.71726,0.79951,0.44627,1.49421,1.00197,1.52793,0.001802,0.001802,0.001802
22,1145.75,1.44189,1.02661,1.46068,0.86635,0.83131,0.84933,0.4897,1.4447,0.89057,1.47509,0.0017921,0.0017921,0.0017921
23,1197.92,1.42236,1.02325,1.45269,0.85862,0.73701,0.80921,0.45868,1.47536,1.07325,1.50845,0.0017822,0.0017822,0.0017822
24,1249.81,1.43053,1.01054,1.44877,0.88628,0.80968,0.83799,0.46264,1.49585,0.91958,1.56462,0.0017723,0.0017723,0.0017723
25,1301.72,1.41389,1.00571,1.45032,0.87348,0.80682,0.84559,0.46834,1.46368,0.97798,1.50468,0.0017624,0.0017624,0.0017624
26,1353.63,1.427,0.99126,1.44392,0.88993,0.81378,0.86633,0.48194,1.44715,0.86411,1.49137,0.0017525,0.0017525,0.0017525
